Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login incorrect user or pass error,Chrome 66.0.3359.139,Incorrect login test,2018-05-10 21:10:08,2018-05-10 21:10:33,24.926s,PASSED
,,,,,,
Test Cases/Navigate to web,Chrome 66.0.3359.139,Use to navigate to certain urls,2018-05-10 21:10:09,2018-05-10 21:10:19,10.730s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 21:10:09,2018-05-10 21:10:13,4.166s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 21:10:13,2018-05-10 21:10:19,6.148s,PASSED
,,,,,,
Test Cases/3-Login Error Verification,Chrome 66.0.3359.139,,2018-05-10 21:10:19,2018-05-10 21:10:22,3.087s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:10:20,2018-05-10 21:10:20,0.316s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:10:20,2018-05-10 21:10:20,0.247s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 21:10:20,2018-05-10 21:10:20,0.198s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 21:10:20,2018-05-10 21:10:22,2.029s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-10 21:10:22,2018-05-10 21:10:22,0.057s,PASSED
,,,,,,
Test Cases/3-Login Error Verification,Chrome 66.0.3359.139,,2018-05-10 21:10:22,2018-05-10 21:10:25,2.403s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:10:23,2018-05-10 21:10:23,0.124s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:10:23,2018-05-10 21:10:23,0.132s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 21:10:23,2018-05-10 21:10:23,0.090s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 21:10:23,2018-05-10 21:10:25,2.002s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-10 21:10:25,2018-05-10 21:10:25,0.023s,PASSED
,,,,,,
Test Cases/3-Login Error Verification,Chrome 66.0.3359.139,,2018-05-10 21:10:25,2018-05-10 21:10:27,2.385s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:10:25,2018-05-10 21:10:25,0.142s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:10:25,2018-05-10 21:10:25,0.125s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 21:10:25,2018-05-10 21:10:25,0.090s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 21:10:25,2018-05-10 21:10:27,2.003s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-10 21:10:27,2018-05-10 21:10:27,0.023s,PASSED
,,,,,,
Test Cases/3-Login Error Verification,Chrome 66.0.3359.139,,2018-05-10 21:10:27,2018-05-10 21:10:30,2.380s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:10:27,2018-05-10 21:10:27,0.119s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:10:27,2018-05-10 21:10:28,0.120s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 21:10:28,2018-05-10 21:10:28,0.084s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 21:10:28,2018-05-10 21:10:30,2.002s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-10 21:10:30,2018-05-10 21:10:30,0.037s,PASSED
,,,,,,
Test Cases/3-Login Error Verification,Chrome 66.0.3359.139,,2018-05-10 21:10:30,2018-05-10 21:10:32,2.517s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:10:30,2018-05-10 21:10:30,0.198s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:10:30,2018-05-10 21:10:30,0.170s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 21:10:30,2018-05-10 21:10:30,0.122s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 21:10:30,2018-05-10 21:10:32,2.002s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-10 21:10:32,2018-05-10 21:10:32,0.024s,PASSED
,,,,,,
Test Cases/Exit browser,Chrome 66.0.3359.139,use to terminate browser when testcase is done,2018-05-10 21:10:32,2018-05-10 21:10:33,0.794s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 21:10:32,2018-05-10 21:10:33,0.651s,PASSED
